año,trimestre,provincia,comunidad,numero_ordenes_proteccion
2012,segundo,soria,castilla y leon,12
2012,segundo,valladolid,castilla y leon,94
2012,segundo,zamora,castilla y leon,17
2012,segundo,albacete,castilla la mancha,64
2012,segundo,ciudad real,castilla la mancha,96
2012,segundo,cuenca,castilla la mancha,66
2012,segundo,guadalajara,castilla la mancha,63
2012,segundo,toledo,castilla la mancha,114
2012,segundo,barcelona,cataluña,1066
2012,segundo,gerona,cataluña,216
2012,segundo,lerida,cataluña,63
2012,segundo,tarragona,cataluña,244
2012,segundo,alicante,comunidad valenciana,583
2012,segundo,castellon,comunidad valenciana,108
2012,segundo,valencia,comunidad valenciana,511
2012,segundo,badajoz,extremadura,138
2012,segundo,caceres,extremadura,75
2012,segundo,coruña,galicia,90
